Date,Period,Runtype,value
20180523,28,DAID,-23474
20180523,29,DAID,-23366
20180523,30,DAID,-23405
20180523,31,DAID,-23426
20180523,32,DAID,-23663
20180523,33,DAID,-24089
20180523,34,DAID,-24418
20180523,35,DAID,-24658
20180523,36,DAID,-24617
20180523,37,DAID,-24447
20180523,38,DAID,-24144
20180523,39,DAID,-23762
20180523,40,DAID,-23424
20180523,41,DAID,-22980
20180523,42,DAID,-22691
20180523,43,DAID,-22670
20180523,44,DAID,-22513
20180523,45,DAID,-21726
20180523,46,DAID,-20488
20180523,47,DAID,-19608
20180523,48,DAID,-18988
20180520,1,DAIG,21831
20180520,2,DAIG,21513
20180520,3,DAIG,21197
20180520,4,DAIG,21011
20180520,5,DAIG,20865
20180520,6,DAIG,20761
20180520,7,DAIG,19956
20180520,8,DAIG,19817
20180520,9,DAIG,19711
20180520,10,DAIG,19644
20180520,11,DAIG,19704
20180520,12,DAIG,19592
20180520,13,DAIG,19895
20180520,14,DAIG,19972
20180520,15,DAIG,21003
20180520,16,DAIG,21012
20180520,17,DAIG,21631
20180520,18,DAIG,21868
20180520,19,DAIG,22340
20180520,20,DAIG,22515
20180520,21,DAIG,22734
20180520,22,DAIG,22912
20180520,23,DAIG,22444
20180520,24,DAIG,21979
20180520,25,DAIG,21855
20180520,26,DAIG,22073
20180520,27,DAIG,20947
20180520,28,DAIG,20496
20180520,29,DAIG,20254
20180520,30,DAIG,20280
20180520,31,DAIG,20527
20180520,32,DAIG,21011
20180520,33,DAIG,22374
20180520,34,DAIG,23799
20180520,35,DAIG,24820
20180520,36,DAIG,26351
20180520,37,DAIG,28626
20180520,38,DAIG,29619
20180520,39,DAIG,30548
20180520,40,DAIG,30629
20180520,41,DAIG,30950
20180520,42,DAIG,30986
20180520,43,DAIG,30358
20180520,44,DAIG,30602
20180520,45,DAIG,29732
20180520,46,DAIG,28721
20180520,47,DAIG,26869
20180520,48,DAIG,25753
20180521,1,DAIG,23098
20180521,2,DAIG,22473
20180521,3,DAIG,21954
20180521,4,DAIG,21636
20180521,5,DAIG,21476
20180521,6,DAIG,21265
20180521,7,DAIG,21376
20180521,8,DAIG,21349
20180521,9,DAIG,21022
20180521,10,DAIG,21120
20180521,11,DAIG,22677
20180521,12,DAIG,23124
20180521,13,DAIG,26042
20180521,14,DAIG,28503
20180521,15,DAIG,31215
20180521,16,DAIG,31360
20180521,17,DAIG,31445
20180521,18,DAIG,31529
20180521,19,DAIG,31518
20180521,20,DAIG,31493
20180521,21,DAIG,30814
20180521,22,DAIG,30759
20180521,23,DAIG,30451
20180521,24,DAIG,30265
20180521,25,DAIG,30140
20180521,26,DAIG,30018
20180521,27,DAIG,29966
20180521,28,DAIG,29738
20180521,29,DAIG,29886
20180521,30,DAIG,29986
20180521,31,DAIG,30101
20180521,32,DAIG,30687
20180521,33,DAIG,31660
20180521,34,DAIG,32621
20180521,35,DAIG,33110
20180521,36,DAIG,33602
20180521,37,DAIG,34162
20180521,38,DAIG,34198
20180521,39,DAIG,33693
20180521,40,DAIG,33559
20180521,41,DAIG,33954
20180521,42,DAIG,33932
20180521,43,DAIG,33427
20180521,44,DAIG,32732
20180521,45,DAIG,31271
20180521,46,DAIG,29933
20180521,47,DAIG,27529
20180521,48,DAIG,26121
20180522,1,DAIG,24861
20180522,2,DAIG,24689
20180522,3,DAIG,23965
20180522,4,DAIG,23689
20180522,5,DAIG,23701
20180522,6,DAIG,23165
20180522,7,DAIG,22972
20180522,8,DAIG,23411
20180522,9,DAIG,23404
20180522,10,DAIG,23458
20180522,11,DAIG,23309
20180522,12,DAIG,24011
20180522,13,DAIG,25402
20180522,14,DAIG,27062
20180522,15,DAIG,30659
20180522,16,DAIG,31618
20180522,17,DAIG,32628
20180522,18,DAIG,32534
20180522,19,DAIG,32009
20180522,20,DAIG,31575
20180522,21,DAIG,30392
20180522,22,DAIG,30188
20180522,23,DAIG,29964
20180522,24,DAIG,29612
20180522,25,DAIG,29651
20180522,26,DAIG,29728
20180522,27,DAIG,29298
20180522,28,DAIG,29136
20180522,29,DAIG,29100
20180522,30,DAIG,29350
20180522,31,DAIG,29949
20180522,32,DAIG,29963
20180522,33,DAIG,30810
20180522,34,DAIG,31867
20180522,35,DAIG,33150
20180522,36,DAIG,33230
20180522,37,DAIG,33525
20180522,38,DAIG,33597
20180522,39,DAIG,33781
20180522,40,DAIG,33451
20180522,41,DAIG,33459
20180522,42,DAIG,33490
20180522,43,DAIG,32590
20180522,44,DAIG,31499
20180522,45,DAIG,30257
20180522,46,DAIG,29589
20180522,47,DAIG,27485
20180522,48,DAIG,25641
20180523,1,DAIG,25152
20180523,2,DAIG,24660
